indicator,category,units,period_date,value
RevPAR,Oahu- Midscale & Economy,dollar,2017-07-01,129.76
Occupancy,Statewide- All,percent,2017-08-01,81.1
Occupancy,Oahu- All,percent,2017-08-01,86.1
Occupancy,Maui CTY- All,percent,2017-08-01,76.1
Occupancy,Hawaii ISL- All,percent,2017-08-01,73.2
Occupancy,Kauai- All,percent,2017-08-01,74.8
Occupancy,Statewide- Luxury,percent,2017-08-01,77.7
Occupancy,Waikiki,percent,2017-08-01,86.6
Occupancy,Wailea,percent,2017-08-01,88.7
Occupancy,Kohala Coast,percent,2017-08-01,72.6
Occupancy,Statewide- Upper Upscale,percent,2017-08-01,87.3
Occupancy,Other Oahu,percent,2017-08-01,80.2
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2017-08-01,76.0
Occupancy,Statewide- Upscale,percent,2017-08-01,74.8
Occupancy,Oahu- Luxury,percent,2017-08-01,78.4
Occupancy,Other Maui CTY,percent,2017-08-01,76.3
Occupancy,Statewide- Upper Midscale,percent,2017-08-01,81.9
Occupancy,Oahu- Upper Upscale,percent,2017-08-01,92.5
Occupancy,Maui CTY- Luxury,percent,2017-08-01,74.4
Occupancy,Statewide- Midscale & Economy,percent,2017-08-01,76.2
Occupancy,Oahu- Upscale,percent,2017-08-01,78.6
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2017-08-01,78.0
Occupancy,Oahu- Upper Midscale,percent,2017-08-01,84.7
Occupancy,Oahu- Midscale & Economy,percent,2017-08-01,81.7
Avg daily rate,Statewide- All,dollar,2017-08-01,269.8
Avg daily rate,Oahu- All,dollar,2017-08-01,244.77
Avg daily rate,Maui CTY- All,dollar,2017-08-01,344.62
Avg daily rate,Hawaii ISL- All,dollar,2017-08-01,250.57
Avg daily rate,Kauai- All,dollar,2017-08-01,275.54
Avg daily rate,Statewide- Luxury,dollar,2017-08-01,544.74
Avg daily rate,Waikiki,dollar,2017-08-01,240.17
Avg daily rate,Wailea,dollar,2017-08-01,536.92
Avg daily rate,Kohala Coast,dollar,2017-08-01,358.16
Avg daily rate,Statewide- Upper Upscale,dollar,2017-08-01,273.07
Avg daily rate,Other Oahu,dollar,2017-08-01,273.63
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2017-08-01,285.36
Avg daily rate,Statewide- Upscale,dollar,2017-08-01,190.82
Avg daily rate,Oahu- Luxury,dollar,2017-08-01,516.6
Avg daily rate,Other Maui CTY,dollar,2017-08-01,408.08
Avg daily rate,Statewide- Upper Midscale,dollar,2017-08-01,158.96
Avg daily rate,Oahu- Upper Upscale,dollar,2017-08-01,270.44
Avg daily rate,Maui CTY- Luxury,dollar,2017-08-01,607.96
Avg daily rate,Statewide- Midscale & Economy,dollar,2017-08-01,148.9
Avg daily rate,Oahu- Upscale,dollar,2017-08-01,197.49
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2017-08-01,259.94
Avg daily rate,Oahu- Upper Midscale,dollar,2017-08-01,154.57
Avg daily rate,Oahu- Midscale & Economy,dollar,2017-08-01,136.51
RevPAR,Statewide- All,dollar,2017-08-01,218.89
RevPAR,Oahu- All,dollar,2017-08-01,210.76
RevPAR,Maui CTY- All,dollar,2017-08-01,262.38
RevPAR,Hawaii ISL- All,dollar,2017-08-01,183.37
RevPAR,Kauai- All,dollar,2017-08-01,206.09
RevPAR,Statewide- Luxury,dollar,2017-08-01,423.45
RevPAR,Waikiki,dollar,2017-08-01,207.95
RevPAR,Wailea,dollar,2017-08-01,476.19
RevPAR,Kohala Coast,dollar,2017-08-01,259.89
RevPAR,Statewide- Upper Upscale,dollar,2017-08-01,238.4
RevPAR,Other Oahu,dollar,2017-08-01,219.54
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2017-08-01,216.74
RevPAR,Statewide- Upscale,dollar,2017-08-01,142.76
RevPAR,Oahu- Luxury,dollar,2017-08-01,404.82
RevPAR,Other Maui CTY,dollar,2017-08-01,311.41
RevPAR,Statewide- Upper Midscale,dollar,2017-08-01,130.16
RevPAR,Oahu- Upper Upscale,dollar,2017-08-01,250.22
RevPAR,Maui CTY- Luxury,dollar,2017-08-01,452.35
RevPAR,Statewide- Midscale & Economy,dollar,2017-08-01,113.4
RevPAR,Oahu- Upscale,dollar,2017-08-01,155.17
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2017-08-01,202.82
RevPAR,Oahu- Upper Midscale,dollar,2017-08-01,130.89
RevPAR,Oahu- Midscale & Economy,dollar,2017-08-01,111.53
Occupancy,Statewide- All,percent,2017-09-01,78.4
Occupancy,Oahu- All,percent,2017-09-01,83.9
Occupancy,Maui CTY- All,percent,2017-09-01,73.5
Occupancy,Hawaii ISL- All,percent,2017-09-01,67.6
Occupancy,Kauai- All,percent,2017-09-01,72.6
Occupancy,Statewide- Luxury,percent,2017-09-01,70.4
Occupancy,Waikiki,percent,2017-09-01,85.6
Occupancy,Wailea,percent,2017-09-01,78.9
Occupancy,Kohala Coast,percent,2017-09-01,61.6
Occupancy,Statewide- Upper Upscale,percent,2017-09-01,84.6
Occupancy,Other Oahu,percent,2017-09-01,74.6
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2017-09-01,75.2
Occupancy,Statewide- Upscale,percent,2017-09-01,73.0
Occupancy,Oahu- Luxury,percent,2017-09-01,73.2
Occupancy,Other Maui CTY,percent,2017-09-01,71.7
Occupancy,Statewide- Upper Midscale,percent,2017-09-01,82.6
Occupancy,Oahu- Upper Upscale,percent,2017-09-01,90.6
Occupancy,Maui CTY- Luxury,percent,2017-09-01,66.4
Occupancy,Statewide- Midscale & Economy,percent,2017-09-01,76.5
Occupancy,Oahu- Upscale,percent,2017-09-01,76.1
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2017-09-01,76.9
Occupancy,Oahu- Upper Midscale,percent,2017-09-01,85.4
Occupancy,Oahu- Midscale & Economy,percent,2017-09-01,81.3
Avg daily rate,Statewide- All,dollar,2017-09-01,231.3
Avg daily rate,Oahu- All,dollar,2017-09-01,217.36
Avg daily rate,Maui CTY- All,dollar,2017-09-01,280.33
Avg daily rate,Hawaii ISL- All,dollar,2017-09-01,205.99
Avg daily rate,Kauai- All,dollar,2017-09-01,236.12
Avg daily rate,Statewide- Luxury,dollar,2017-09-01,426.31
Avg daily rate,Waikiki,dollar,2017-09-01,215.48
Avg daily rate,Wailea,dollar,2017-09-01,414.62
Avg daily rate,Kohala Coast,dollar,2017-09-01,282.18
Avg daily rate,Statewide- Upper Upscale,dollar,2017-09-01,243.08
Avg daily rate,Other Oahu,dollar,2017-09-01,231.81
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2017-09-01,243.39
Avg daily rate,Statewide- Upscale,dollar,2017-09-01,175.73
Avg daily rate,Oahu- Luxury,dollar,2017-09-01,430.5
Avg daily rate,Other Maui CTY,dollar,2017-09-01,326.82
Avg daily rate,Statewide- Upper Midscale,dollar,2017-09-01,148.13
Avg daily rate,Oahu- Upper Upscale,dollar,2017-09-01,242.91
Avg daily rate,Maui CTY- Luxury,dollar,2017-09-01,456.96
Avg daily rate,Statewide- Midscale & Economy,dollar,2017-09-01,141.31
Avg daily rate,Oahu- Upscale,dollar,2017-09-01,180.53
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2017-09-01,231.96
Avg daily rate,Oahu- Upper Midscale,dollar,2017-09-01,143.81
Avg daily rate,Oahu- Midscale & Economy,dollar,2017-09-01,125.45
RevPAR,Statewide- All,dollar,2017-09-01,181.25
RevPAR,Oahu- All,dollar,2017-09-01,182.32
RevPAR,Maui CTY- All,dollar,2017-09-01,205.91
RevPAR,Hawaii ISL- All,dollar,2017-09-01,139.27
RevPAR,Kauai- All,dollar,2017-09-01,171.37
RevPAR,Statewide- Luxury,dollar,2017-09-01,300.05
RevPAR,Waikiki,dollar,2017-09-01,184.44
RevPAR,Wailea,dollar,2017-09-01,326.95
RevPAR,Kohala Coast,dollar,2017-09-01,173.83
RevPAR,Statewide- Upper Upscale,dollar,2017-09-01,205.57
RevPAR,Other Oahu,dollar,2017-09-01,172.86
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2017-09-01,182.96
RevPAR,Statewide- Upscale,dollar,2017-09-01,128.26
RevPAR,Oahu- Luxury,dollar,2017-09-01,315.06
RevPAR,Other Maui CTY,dollar,2017-09-01,234.27
RevPAR,Statewide- Upper Midscale,dollar,2017-09-01,122.36
RevPAR,Oahu- Upper Upscale,dollar,2017-09-01,220.07
RevPAR,Maui CTY- Luxury,dollar,2017-09-01,303.49
RevPAR,Statewide- Midscale & Economy,dollar,2017-09-01,108.09
RevPAR,Oahu- Upscale,dollar,2017-09-01,137.43
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2017-09-01,178.37
RevPAR,Oahu- Upper Midscale,dollar,2017-09-01,122.75
RevPAR,Oahu- Midscale & Economy,dollar,2017-09-01,101.93
Occupancy,Statewide- All,percent,2017-10-01,78.8
Occupancy,Oahu- All,percent,2017-10-01,82.1
Occupancy,Maui CTY- All,percent,2017-10-01,74.8
Occupancy,Hawaii ISL- All,percent,2017-10-01,73.5
Occupancy,Kauai- All,percent,2017-10-01,76.2
Occupancy,Statewide- Luxury,percent,2017-10-01,73.6
Occupancy,Waikiki,percent,2017-10-01,83.6
Occupancy,Wailea,percent,2017-10-01,78.2
Occupancy,Kohala Coast,percent,2017-10-01,69.6
Occupancy,Statewide- Upper Upscale,percent,2017-10-01,85.1
Occupancy,Other Oahu,percent,2017-10-01,71.3
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2017-10-01,76.9
Occupancy,Statewide- Upscale,percent,2017-10-01,72.5
Occupancy,Oahu- Luxury,percent,2017-10-01,72.7
Occupancy,Other Maui CTY,percent,2017-10-01,72.4
Occupancy,Statewide- Upper Midscale,percent,2017-10-01,80.2
Occupancy,Oahu- Upper Upscale,percent,2017-10-01,89.3
Occupancy,Maui CTY- Luxury,percent,2017-10-01,69.3
Occupancy,Statewide- Midscale & Economy,percent,2017-10-01,76.4
Occupancy,Oahu- Upscale,percent,2017-10-01,73.0
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2017-10-01,77.6
Occupancy,Oahu- Upper Midscale,percent,2017-10-01,81.6
Occupancy,Oahu- Midscale & Economy,percent,2017-10-01,78.6
Avg daily rate,Statewide- All,dollar,2017-10-01,240.61
Avg daily rate,Oahu- All,dollar,2017-10-01,222.42
Avg daily rate,Maui CTY- All,dollar,2017-10-01,295.56
Avg daily rate,Hawaii ISL- All,dollar,2017-10-01,228.89
Avg daily rate,Kauai- All,dollar,2017-10-01,236.48
Avg daily rate,Statewide- Luxury,dollar,2017-10-01,438.38
Avg daily rate,Waikiki,dollar,2017-10-01,219.73
Avg daily rate,Wailea,dollar,2017-10-01,448.09
Avg daily rate,Kohala Coast,dollar,2017-10-01,307.46
Avg daily rate,Statewide- Upper Upscale,dollar,2017-10-01,252.67
Avg daily rate,Other Oahu,dollar,2017-10-01,241.73
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2017-10-01,252.1
Avg daily rate,Statewide- Upscale,dollar,2017-10-01,183.1
Avg daily rate,Oahu- Luxury,dollar,2017-10-01,445.69
Avg daily rate,Other Maui CTY,dollar,2017-10-01,351.67
Avg daily rate,Statewide- Upper Midscale,dollar,2017-10-01,148.32
Avg daily rate,Oahu- Upper Upscale,dollar,2017-10-01,248.86
Avg daily rate,Maui CTY- Luxury,dollar,2017-10-01,477.92
Avg daily rate,Statewide- Midscale & Economy,dollar,2017-10-01,143.53
Avg daily rate,Oahu- Upscale,dollar,2017-10-01,184.59
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2017-10-01,244.77
Avg daily rate,Oahu- Upper Midscale,dollar,2017-10-01,141.14
Avg daily rate,Oahu- Midscale & Economy,dollar,2017-10-01,122.0
RevPAR,Statewide- All,dollar,2017-10-01,189.66
RevPAR,Oahu- All,dollar,2017-10-01,182.71
RevPAR,Maui CTY- All,dollar,2017-10-01,221.19
RevPAR,Hawaii ISL- All,dollar,2017-10-01,168.25
RevPAR,Kauai- All,dollar,2017-10-01,180.24
RevPAR,Statewide- Luxury,dollar,2017-10-01,322.76
RevPAR,Waikiki,dollar,2017-10-01,183.68
RevPAR,Wailea,dollar,2017-10-01,350.33
RevPAR,Kohala Coast,dollar,2017-10-01,214.08
RevPAR,Statewide- Upper Upscale,dollar,2017-10-01,214.98
RevPAR,Other Oahu,dollar,2017-10-01,172.38
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2017-10-01,193.92
RevPAR,Statewide- Upscale,dollar,2017-10-01,132.66
RevPAR,Oahu- Luxury,dollar,2017-10-01,324.14
RevPAR,Other Maui CTY,dollar,2017-10-01,254.66
RevPAR,Statewide- Upper Midscale,dollar,2017-10-01,118.97
RevPAR,Oahu- Upper Upscale,dollar,2017-10-01,222.3
RevPAR,Maui CTY- Luxury,dollar,2017-10-01,331.28
RevPAR,Statewide- Midscale & Economy,dollar,2017-10-01,109.6
RevPAR,Oahu- Upscale,dollar,2017-10-01,134.72
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2017-10-01,190.01
RevPAR,Oahu- Upper Midscale,dollar,2017-10-01,115.19
RevPAR,Oahu- Midscale & Economy,dollar,2017-10-01,95.92
Occupancy,Statewide- All,percent,2017-11-01,78.4
Occupancy,Oahu- All,percent,2017-11-01,82.0
Occupancy,Maui CTY- All,percent,2017-11-01,75.1
Occupancy,Hawaii ISL- All,percent,2017-11-01,73.8
Occupancy,Kauai- All,percent,2017-11-01,71.6
Occupancy,Statewide- Luxury,percent,2017-11-01,74.9
Occupancy,Waikiki,percent,2017-11-01,83.2
Occupancy,Wailea,percent,2017-11-01,83.8
Occupancy,Kohala Coast,percent,2017-11-01,69.6
Occupancy,Statewide- Upper Upscale,percent,2017-11-01,83.6
Occupancy,Other Oahu,percent,2017-11-01,75.6
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2017-11-01,75.1
Occupancy,Statewide- Upscale,percent,2017-11-01,73.2
Occupancy,Oahu- Luxury,percent,2017-11-01,72.8
Occupancy,Other Maui CTY,percent,2017-11-01,75.3
Occupancy,Statewide- Upper Midscale,percent,2017-11-01,78.8
Occupancy,Oahu- Upper Upscale,percent,2017-11-01,88.3
Occupancy,Maui CTY- Luxury,percent,2017-11-01,74.2
Occupancy,Statewide- Midscale & Economy,percent,2017-11-01,79.1
Occupancy,Oahu- Upscale,percent,2017-11-01,74.8
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2017-11-01,76.3
Occupancy,Oahu- Upper Midscale,percent,2017-11-01,80.7
Occupancy,Oahu- Midscale & Economy,percent,2017-11-01,84.9
Avg daily rate,Statewide- All,dollar,2017-11-01,242.75
Avg daily rate,Oahu- All,dollar,2017-11-01,219.24
Avg daily rate,Maui CTY- All,dollar,2017-11-01,314.75
Avg daily rate,Hawaii ISL- All,dollar,2017-11-01,228.32
Avg daily rate,Kauai- All,dollar,2017-11-01,232.06
Avg daily rate,Statewide- Luxury,dollar,2017-11-01,466.9
Avg daily rate,Waikiki,dollar,2017-11-01,215.62
Avg daily rate,Wailea,dollar,2017-11-01,488.53
Avg daily rate,Kohala Coast,dollar,2017-11-01,332.59
Avg daily rate,Statewide- Upper Upscale,dollar,2017-11-01,248.27
Avg daily rate,Other Oahu,dollar,2017-11-01,243.41
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2017-11-01,257.85
Avg daily rate,Statewide- Upscale,dollar,2017-11-01,181.03
Avg daily rate,Oahu- Luxury,dollar,2017-11-01,436.03
Avg daily rate,Other Maui CTY,dollar,2017-11-01,384.18
Avg daily rate,Statewide- Upper Midscale,dollar,2017-11-01,147.31
Avg daily rate,Oahu- Upper Upscale,dollar,2017-11-01,244.08
Avg daily rate,Maui CTY- Luxury,dollar,2017-11-01,531.68
Avg daily rate,Statewide- Midscale & Economy,dollar,2017-11-01,140.23
Avg daily rate,Oahu- Upscale,dollar,2017-11-01,185.12
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2017-11-01,246.69
Avg daily rate,Oahu- Upper Midscale,dollar,2017-11-01,140.46
Avg daily rate,Oahu- Midscale & Economy,dollar,2017-11-01,119.78
RevPAR,Statewide- All,dollar,2017-11-01,190.43
RevPAR,Oahu- All,dollar,2017-11-01,179.69
RevPAR,Maui CTY- All,dollar,2017-11-01,236.38
RevPAR,Hawaii ISL- All,dollar,2017-11-01,168.56
RevPAR,Kauai- All,dollar,2017-11-01,166.24
RevPAR,Statewide- Luxury,dollar,2017-11-01,349.7
RevPAR,Waikiki,dollar,2017-11-01,179.31
RevPAR,Wailea,dollar,2017-11-01,409.49
RevPAR,Kohala Coast,dollar,2017-11-01,231.41
RevPAR,Statewide- Upper Upscale,dollar,2017-11-01,207.63
RevPAR,Other Oahu,dollar,2017-11-01,183.92
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2017-11-01,193.56
RevPAR,Statewide- Upscale,dollar,2017-11-01,132.61
RevPAR,Oahu- Luxury,dollar,2017-11-01,317.63
RevPAR,Other Maui CTY,dollar,2017-11-01,289.17
RevPAR,Statewide- Upper Midscale,dollar,2017-11-01,116.07
RevPAR,Oahu- Upper Upscale,dollar,2017-11-01,215.5
RevPAR,Maui CTY- Luxury,dollar,2017-11-01,394.35
RevPAR,Statewide- Midscale & Economy,dollar,2017-11-01,110.92
RevPAR,Oahu- Upscale,dollar,2017-11-01,138.51
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2017-11-01,188.32
RevPAR,Oahu- Upper Midscale,dollar,2017-11-01,113.35
RevPAR,Oahu- Midscale & Economy,dollar,2017-11-01,101.74
Occupancy,Statewide- All,percent,2017-12-01,78.7
Occupancy,Oahu- All,percent,2017-12-01,81.7
Occupancy,Maui CTY- All,percent,2017-12-01,75.0
Occupancy,Hawaii ISL- All,percent,2017-12-01,75.9
Occupancy,Kauai- All,percent,2017-12-01,73.7
Occupancy,Statewide- Luxury,percent,2017-12-01,73.3
Occupancy,Waikiki,percent,2017-12-01,82.6
Occupancy,Wailea,percent,2017-12-01,81.8
Occupancy,Kohala Coast,percent,2017-12-01,71.7
Occupancy,Statewide- Upper Upscale,percent,2017-12-01,83.3
Occupancy,Other Oahu,percent,2017-12-01,76.6
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2017-12-01,74.9
Occupancy,Statewide- Upscale,percent,2017-12-01,74.4
Occupancy,Oahu- Luxury,percent,2017-12-01,70.6
Occupancy,Other Maui CTY,percent,2017-12-01,75.3
Occupancy,Statewide- Upper Midscale,percent,2017-12-01,79.5
Occupancy,Oahu- Upper Upscale,percent,2017-12-01,86.4
Occupancy,Maui CTY- Luxury,percent,2017-12-01,72.8
Occupancy,Statewide- Midscale & Economy,percent,2017-12-01,80.8
Occupancy,Oahu- Upscale,percent,2017-12-01,76.5
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2017-12-01,76.6
Occupancy,Oahu- Upper Midscale,percent,2017-12-01,81.1
Occupancy,Oahu- Midscale & Economy,percent,2017-12-01,87.0
Avg daily rate,Statewide- All,dollar,2017-12-01,319.25
Avg daily rate,Oahu- All,dollar,2017-12-01,261.07
Avg daily rate,Maui CTY- All,dollar,2017-12-01,478.0
Avg daily rate,Hawaii ISL- All,dollar,2017-12-01,306.81
Avg daily rate,Kauai- All,dollar,2017-12-01,312.7
Avg daily rate,Statewide- Luxury,dollar,2017-12-01,727.44
Avg daily rate,Waikiki,dollar,2017-12-01,252.42
Avg daily rate,Wailea,dollar,2017-12-01,772.65
Avg daily rate,Kohala Coast,dollar,2017-12-01,469.5
Avg daily rate,Statewide- Upper Upscale,dollar,2017-12-01,307.35
Avg daily rate,Other Oahu,dollar,2017-12-01,317.59
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2017-12-01,373.73
Avg daily rate,Statewide- Upscale,dollar,2017-12-01,220.8
Avg daily rate,Oahu- Luxury,dollar,2017-12-01,604.19
Avg daily rate,Other Maui CTY,dollar,2017-12-01,607.29
Avg daily rate,Statewide- Upper Midscale,dollar,2017-12-01,179.21
Avg daily rate,Oahu- Upper Upscale,dollar,2017-12-01,279.72
Avg daily rate,Maui CTY- Luxury,dollar,2017-12-01,925.05
Avg daily rate,Statewide- Midscale & Economy,dollar,2017-12-01,173.78
Avg daily rate,Oahu- Upscale,dollar,2017-12-01,218.44
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2017-12-01,341.55
Avg daily rate,Oahu- Upper Midscale,dollar,2017-12-01,166.79
Avg daily rate,Oahu- Midscale & Economy,dollar,2017-12-01,145.12
RevPAR,Statewide- All,dollar,2017-12-01,251.29
RevPAR,Oahu- All,dollar,2017-12-01,213.23
RevPAR,Maui CTY- All,dollar,2017-12-01,358.64
RevPAR,Hawaii ISL- All,dollar,2017-12-01,232.96
RevPAR,Kauai- All,dollar,2017-12-01,230.44
RevPAR,Statewide- Luxury,dollar,2017-12-01,532.94
RevPAR,Waikiki,dollar,2017-12-01,208.45
RevPAR,Wailea,dollar,2017-12-01,631.92
RevPAR,Kohala Coast,dollar,2017-12-01,336.49
RevPAR,Statewide- Upper Upscale,dollar,2017-12-01,256.01
RevPAR,Other Oahu,dollar,2017-12-01,243.13
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2017-12-01,280.06
RevPAR,Statewide- Upscale,dollar,2017-12-01,164.28
RevPAR,Oahu- Luxury,dollar,2017-12-01,426.67
RevPAR,Other Maui CTY,dollar,2017-12-01,457.19
RevPAR,Statewide- Upper Midscale,dollar,2017-12-01,142.55
RevPAR,Oahu- Upper Upscale,dollar,2017-12-01,241.75
RevPAR,Maui CTY- Luxury,dollar,2017-12-01,673.22
RevPAR,Statewide- Midscale & Economy,dollar,2017-12-01,140.49
RevPAR,Oahu- Upscale,dollar,2017-12-01,167.21
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2017-12-01,261.67
RevPAR,Oahu- Upper Midscale,dollar,2017-12-01,135.29
RevPAR,Oahu- Midscale & Economy,dollar,2017-12-01,126.21
Occupancy,Statewide- All,percent,2018-01-01,81.7
Occupancy,Oahu- All,percent,2018-01-01,83.1
Occupancy,Maui CTY- All,percent,2018-01-01,79.5
Occupancy,Hawaii ISL- All,percent,2018-01-01,80.6
Occupancy,Kauai- All,percent,2018-01-01,80.5
Occupancy,Statewide- Luxury,percent,2018-01-01,77.6
Occupancy,Waikiki,percent,2018-01-01,84.0
Occupancy,Wailea,percent,2018-01-01,86.3
Occupancy,Kohala Coast,percent,2018-01-01,79.4
Occupancy,Statewide- Upper Upscale,percent,2018-01-01,85.7
Occupancy,Other Oahu,percent,2018-01-01,77.7
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2018-01-01,79.7
Occupancy,Statewide- Upscale,percent,2018-01-01,76.9
Occupancy,Oahu- Luxury,percent,2018-01-01,70.4
Occupancy,Other Maui CTY,percent,2018-01-01,79.2
Occupancy,Statewide- Upper Midscale,percent,2018-01-01,83.0
Occupancy,Oahu- Upper Upscale,percent,2018-01-01,86.9
Occupancy,Maui CTY- Luxury,percent,2018-01-01,78.6
Occupancy,Statewide- Midscale & Economy,percent,2018-01-01,84.6
Occupancy,Oahu- Upscale,percent,2018-01-01,79.0
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2018-01-01,80.2
Occupancy,Oahu- Upper Midscale,percent,2018-01-01,83.8
Occupancy,Oahu- Midscale & Economy,percent,2018-01-01,89.7
Avg daily rate,Statewide- All,dollar,2018-01-01,295.16
Avg daily rate,Oahu- All,dollar,2018-01-01,239.42
Avg daily rate,Maui CTY- All,dollar,2018-01-01,434.22
Avg daily rate,Hawaii ISL- All,dollar,2018-01-01,287.37
Avg daily rate,Kauai- All,dollar,2018-01-01,303.78
Avg daily rate,Statewide- Luxury,dollar,2018-01-01,612.05
Avg daily rate,Waikiki,dollar,2018-01-01,235.53
Avg daily rate,Wailea,dollar,2018-01-01,662.03
Avg daily rate,Kohala Coast,dollar,2018-01-01,407.88
Avg daily rate,Statewide- Upper Upscale,dollar,2018-01-01,285.66
Avg daily rate,Other Oahu,dollar,2018-01-01,264.38
Avg daily rate,Lahaina/Kaanapali/Kapalua,dollar,2018-01-01,355.75
Avg daily rate,Statewide- Upscale,dollar,2018-01-01,217.01
Avg daily rate,Oahu- Luxury,dollar,2018-01-01,524.27
Avg daily rate,Other Maui CTY,dollar,2018-01-01,534.04
Avg daily rate,Statewide- Upper Midscale,dollar,2018-01-01,171.94
Avg daily rate,Oahu- Upper Upscale,dollar,2018-01-01,261.63
Avg daily rate,Maui CTY- Luxury,dollar,2018-01-01,741.23
Avg daily rate,Statewide- Midscale & Economy,dollar,2018-01-01,173.61
Avg daily rate,Oahu- Upscale,dollar,2018-01-01,196.67
Avg daily rate,Maui CTY- Upper Upscale & Upscale,dollar,2018-01-01,335.21
Avg daily rate,Oahu- Upper Midscale,dollar,2018-01-01,152.98
Avg daily rate,Oahu- Midscale & Economy,dollar,2018-01-01,131.19
RevPAR,Statewide- All,dollar,2018-01-01,241.23
RevPAR,Oahu- All,dollar,2018-01-01,199.05
RevPAR,Maui CTY- All,dollar,2018-01-01,345.06
RevPAR,Hawaii ISL- All,dollar,2018-01-01,231.56
RevPAR,Kauai- All,dollar,2018-01-01,244.59
RevPAR,Statewide- Luxury,dollar,2018-01-01,474.69
RevPAR,Waikiki,dollar,2018-01-01,197.95
RevPAR,Wailea,dollar,2018-01-01,571.53
RevPAR,Kohala Coast,dollar,2018-01-01,323.89
RevPAR,Statewide- Upper Upscale,dollar,2018-01-01,244.68
RevPAR,Other Oahu,dollar,2018-01-01,205.55
RevPAR,Lahaina/Kaanapali/Kapalua,dollar,2018-01-01,283.54
RevPAR,Statewide- Upscale,dollar,2018-01-01,166.84
RevPAR,Oahu- Luxury,dollar,2018-01-01,369.02
RevPAR,Other Maui CTY,dollar,2018-01-01,422.81
RevPAR,Statewide- Upper Midscale,dollar,2018-01-01,142.79
RevPAR,Oahu- Upper Upscale,dollar,2018-01-01,227.24
RevPAR,Maui CTY- Luxury,dollar,2018-01-01,582.97
RevPAR,Statewide- Midscale & Economy,dollar,2018-01-01,146.87
RevPAR,Oahu- Upscale,dollar,2018-01-01,155.27
RevPAR,Maui CTY- Upper Upscale & Upscale,dollar,2018-01-01,268.74
RevPAR,Oahu- Upper Midscale,dollar,2018-01-01,128.21
RevPAR,Oahu- Midscale & Economy,dollar,2018-01-01,117.64
Occupancy,Statewide- All,percent,2018-02-01,85.6
Occupancy,Oahu- All,percent,2018-02-01,87.4
Occupancy,Maui CTY- All,percent,2018-02-01,82.7
Occupancy,Hawaii ISL- All,percent,2018-02-01,85.9
Occupancy,Kauai- All,percent,2018-02-01,82.2
Occupancy,Statewide- Luxury,percent,2018-02-01,81.3
Occupancy,Waikiki,percent,2018-02-01,88.0
Occupancy,Wailea,percent,2018-02-01,90.8
Occupancy,Kohala Coast,percent,2018-02-01,87.8
Occupancy,Statewide- Upper Upscale,percent,2018-02-01,89.6
Occupancy,Other Oahu,percent,2018-02-01,83.3
Occupancy,Lahaina/Kaanapali/Kapalua,percent,2018-02-01,80.7
Occupancy,Statewide- Upscale,percent,2018-02-01,81.4
Occupancy,Oahu- Luxury,percent,2018-02-01,73.4
Occupancy,Other Maui CTY,percent,2018-02-01,85.2
Occupancy,Statewide- Upper Midscale,percent,2018-02-01,86.9
Occupancy,Oahu- Upper Upscale,percent,2018-02-01,91.1
Occupancy,Maui CTY- Luxury,percent,2018-02-01,81.6
Occupancy,Statewide- Midscale & Economy,percent,2018-02-01,86.3
Occupancy,Oahu- Upscale,percent,2018-02-01,84.6
Occupancy,Maui CTY- Upper Upscale & Upscale,percent,2018-02-01,83.0
Occupancy,Oahu- Upper Midscale,percent,2018-02-01,87.3
