indicator,market,destination,units,period_date,value
Airseat,"All Int'l, Scheduled & Charters",All airports in Hawaii,number,2009-04-01,
Airseat,"All Int'l, Scheduled & Charters",Honolulu,number,2009-04-01,
Airseat,"All Int'l, Scheduled & Charters",Kahului,number,2009-04-01,
Airseat,"All Int'l, Scheduled & Charters",Kona,number,2009-04-01,
Airseat,"All Int'l, Scheduled & Charters",Hilo,number,2009-04-01,0.0
Airseat,"All Int'l, Scheduled & Charters",Lihue,number,2009-04-01,0.0
Airseat,"All Int'l, Scheduled",All airports in Hawaii,number,2009-04-01,
Airseat,"All Int'l, Scheduled",Honolulu,number,2009-04-01,
Airseat,"All Int'l, Scheduled",Kahului,number,2009-04-01,
Airseat,"All Int'l, Scheduled",Kona,number,2009-04-01,
Airseat,"All Int'l, Scheduled",Hilo,number,2009-04-01,0.0
Airseat,"All Int'l, Scheduled",Lihue,number,2009-04-01,0.0
Airseat,"All Int'l, Charters",All airports in Hawaii,number,2009-04-01,
Airseat,"All Int'l, Charters",Honolulu,number,2009-04-01,
Airseat,"All Int'l, Charters",Kahului,number,2009-04-01,0.0
Airseat,"All Int'l, Charters",Kona,number,2009-04-01,0.0
Airseat,"All Int'l, Charters",Hilo,number,2009-04-01,0.0
Airseat,"All Int'l, Charters",Lihue,number,2009-04-01,0.0
Airseat,"US West, Scheduled",All airports in Hawaii,number,2009-04-01,
Airseat,"US West, Scheduled",Honolulu,number,2009-04-01,
Airseat,"US West, Scheduled",Kahului,number,2009-04-01,
Airseat,"US West, Scheduled",Kona,number,2009-04-01,
Airseat,"US West, Scheduled",Hilo,number,2009-04-01,0.0
Airseat,"US West, Scheduled",Lihue,number,2009-04-01,
Airseat,"US East, Scheduled",All airports in Hawaii,number,2009-04-01,
Airseat,"US East, Scheduled",Honolulu,number,2009-04-01,
Airseat,"US East, Scheduled",Kahului,number,2009-04-01,
Airseat,"US East, Scheduled",Kona,number,2009-04-01,0.0
Airseat,"US East, Scheduled",Hilo,number,2009-04-01,0.0
Airseat,"US East, Scheduled",Lihue,number,2009-04-01,0.0
Airseat,"Japan, Scheduled",All airports in Hawaii,number,2009-04-01,
Airseat,"Japan, Scheduled",Honolulu,number,2009-04-01,
Airseat,"Japan, Scheduled",Kahului,number,2009-04-01,0.0
Airseat,"Japan, Scheduled",Kona,number,2009-04-01,
Airseat,"Japan, Scheduled",Hilo,number,2009-04-01,0.0
Airseat,"Japan, Scheduled",Lihue,number,2009-04-01,0.0
