"Indicator","Market","Destination","Units","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09","2023-10","2023-11","2023-12","2024-01","2024-02","2024-03","2024-04","2024-05","2024-06","2024-07","2024-08","2024-09","2024-10","2024-11","2024-12","2025-01","2025-02","2025-03","2025-04","2025-05","2025-06","2025-07","2025-08","2025-09","2025-10","2025-11","2025-12","2026-01","2026-02","2026-03","2026-04"
"Airseat","All Domestic, Scheduled","Kona","number","42,385","38,657","46,475","45,214","42,419","43,758","47,817","47,117","29,348","37,456","37,095","46,893","44,829","42,590","53,938","50,304","49,091","54,538","59,639","55,131","39,428","45,265","46,282","52,638","52,559","48,262","54,983","47,594","46,623","49,656","53,509","47,567","37,810","43,301","42,372","50,698","50,232","49,322","60,710","49,222","44,035","51,082","56,393","53,634","42,305","49,494","51,442","54,476","55,343","53,777","61,682","49,918","40,912","46,662","50,447","47,302","35,836","45,902","49,612","50,015","55,685","51,793","62,002","47,434","44,648","56,481","65,722","63,891","41,933","49,632","50,185","60,737","59,748","57,012","73,418","61,849","62,776","74,914","78,956","73,073","45,697","56,011","59,813","68,725","69,627","68,034","76,801","62,159","61,946","76,554","82,313","77,641","47,867","54,961","59,609","78,003","71,666","68,100","86,077","65,963","65,318","83,525","90,275","81,302","50,922","60,844","65,418","90,765","91,842","84,472","106,331","93,654","101,106","107,036","111,888","98,779","68,232","75,289","83,637","98,614","97,410","84,824","106,853","89,117","96,028","104,573","110,095","98,448","64,956","72,590","78,213","98,565","101,061","97,773","90,880","4,781","3,088","3,281","7,528","9,657","9,453","23,045","45,458","77,725","79,190","74,542","91,766","92,143","107,706","124,659","139,467","138,197","118,504","125,205","120,687","137,370","105,557","95,264","122,712","109,771","116,036","124,616","120,883","118,446","90,973","90,526","88,194","109,536","107,988","98,060","118,076","104,718","106,915","117,084","120,883","117,179","101,423","111,386","104,765","115,781","97,955","96,802","108,178","97,076","109,638","111,738","118,772","110,522","95,238","103,061","99,018","115,008","110,716","84,482","104,939","66,373","99,283","106,632","112,046","103,848","89,724","99,527","102,672","124,801","122,964","111,010","123,537","108,914"
"Airseat","All Domestic, Scheduled","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,925","5,652","5,495","5,338","5,652","5,338","5,652","5,495","5,181","5,652","6,120","6,300","5,320","5,320","4,864","3,496","3,192","3,952","4,271","4,104","3,040","3,344","3,925","4,239","5,082","5,456","4,620","3,234","3,388","3,399","4,466","3,804","3,128","3,424","3,234","4,266","4,484","4,774","4,774","3,388","3,388","3,388","4,004","2,002","2,464","3,388","3,850","3,508","4,466","4,774","4,978","3,794","3,590","3,460","4,266","2,714","2,667","3,508","3,448","3,496","4,218","5,098","4,208","3,604","3,794","3,652","4,482","3,154","2,726","3,592","3,486","3,652","4,648","4,870","5,014","3,818","4,316","4,102","4,802","5,159","4,648","5,146","4,980","5,146","4,980","5,146","3,652","3,486","3,652","3,984","4,316","2,822","2,656","3,665","3,873","3,938","4,700","5,146","4,804","3,486","4,648","3,818","4,316","2,656","2,490","3,652","0","0","0","0","0","0","0","0","0","0","0","1,992","2,158","2,158","4,999","5,549","5,549","3,759","3,759","4,117","4,537","2,685","2,148","3,899","2,887","3,183","5,191","0","5,549","4,117","3,925","3,818","4,482","1,162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","All Domestic, Scheduled","Lihue","number","32,957","28,442","34,359","34,006","36,034","42,256","47,163","43,806","29,700","31,737","31,080","35,301","32,048","29,214","37,535","36,450","38,564","44,106","47,182","43,534","32,610","35,362","31,634","36,750","34,643","30,960","36,229","42,476","42,503","50,798","56,195","51,308","39,952","42,646","38,699","45,251","40,711","38,689","47,098","46,515","47,200","51,519","55,463","52,835","43,999","45,310","48,093","55,164","53,166","47,140","53,382","47,530","43,636","51,967","55,552","53,397","39,467","42,154","44,998","48,475","48,807","43,937","50,770","47,216","49,020","57,430","66,421","62,746","43,779","49,621","48,199","54,562","53,574","45,140","52,641","48,450","51,079","65,012","68,980","64,138","43,106","47,729","45,697","57,548","56,927","50,727","55,188","47,670","50,763","67,832","75,759","72,169","43,482","48,844","45,760","58,604","53,485","45,925","52,578","47,988","51,456","75,750","81,029","75,966","53,331","59,764","55,534","76,121","78,478","71,456","89,145","77,717","82,861","84,613","90,551","84,005","69,083","74,301","77,069","88,222","79,402","69,797","86,849","75,484","79,966","90,144","94,336","86,220","63,608","72,357","77,342","87,481","77,465","75,637","58,908","3,856","2,316","2,340","2,780","3,860","3,558","13,344","49,218","14,747","8,062","11,754","13,498","34,172","52,079","82,426","100,947","104,747","98,576","100,488","98,829","107,408","92,030","78,647","100,290","96,140","99,815","102,029","88,778","102,059","85,076","82,231","84,180","89,729","85,253","70,086","87,608","85,473","83,934","86,014","88,778","88,451","71,159","71,395","66,162","77,902","77,515","69,577","79,745","74,907","86,738","91,044","97,202","87,545","72,604","77,200","75,863","87,220","78,382","57,690","82,756","90,217","86,802","91,145","77,403","91,502","80,442","82,169","77,365","97,616","84,142","81,141","93,650","97,609"
"Airseat","All Domestic, Charters","All airports in Hawaii","number","7,452","6,624","7,452","7,176","7,176","7,176","6,348","6,348","6,900","7,728","6,900","7,452","7,176","6,072","6,072","6,072","6,072","5,520","5,796","6,348","5,796","6,072","6,072","6,072","6,072","4,968","6,072","5,796","6,072","5,796","6,072","5,796","6,072","6,072","5,796","6,072","6,624","5,520","6,348","6,072","5,796","4,692","5,244","5,244","4,692","4,968","4,692","5,244","4,692","4,416","4,692","4,968","4,692","4,692","4,692","4,692","4,968","4,692","4,692","5,520","4,692","4,416","4,968","4,416","4,692","4,968","4,692","4,968","4,968","4,692","4,692","4,968","3,864","4,416","4,416","4,416","4,416","4,416","4,968","4,968","4,692","4,692","4,968","5,527","5,337","7,996","6,139","5,802","5,856","6,109","5,623","4,692","5,070","4,558","5,449","5,335","6,125","4,728","7,080","5,454","5,425","5,266","5,601","4,908","4,857","5,413","4,858","6,501","6,498","5,073","5,082","8,545","5,806","4,880","5,432","5,032","4,888","5,085","6,619","6,005","5,025","5,450","6,433","5,651","5,608","5,204","5,436","5,148","5,326","5,169","6,302","5,989","6,280","4,594","5,686","4,717","1,398","453","1,064","857","359","1,359","3,822","2,747","553","2,235","2,261","3,292","4,483","4,982","4,386","4,477","8,444","437","2,790","4,208","0","556","745","1,129","971","3,085","2,211","1,408","556","728","2,253","1,785","1,058","1,476","1,047","1,334","541","880","2,211","9,145","1,866","3,506","3,766","1,229","5,196","3,942","4,912","5,524","1,232","1,551","997","1,712","966","6,921","2,277","2,215","1,272","1,600","2,542","408","917","3,141","4,933","1,634","1,231","1,250","2,812","2,017","1,361","827","920","2,938"
"Airseat","All Domestic, Charters","Honolulu","number","7,452","6,624","7,452","7,176","7,176","7,176","6,348","6,348","6,900","7,728","6,900","7,452","7,176","6,072","6,072","6,072","6,072","5,520","5,796","6,348","5,796","6,072","6,072","6,072","6,072","4,968","6,072","5,796","6,072","5,796","6,072","5,796","6,072","6,072","5,796","6,072","6,624","5,520","6,348","6,072","5,796","4,692","5,244","5,244","4,692","4,968","4,692","5,244","4,692","4,416","4,692","4,968","4,692","4,692","4,692","4,692","4,968","4,692","4,692","5,520","4,692","4,416","4,968","4,416","4,692","4,968","4,692","4,968","4,968","4,692","4,692","4,968","3,864","4,416","4,416","4,416","4,416","4,416","4,968","4,968","4,692","4,692","4,968","5,527","5,337","7,212","5,035","5,227","5,244","5,616","5,467","4,692","4,855","4,196","5,083","5,172","5,746","4,572","5,933","4,848","4,968","5,266","5,601","4,692","4,692","5,244","4,709","5,596","5,985","5,073","4,692","6,044","5,231","4,880","5,045","4,692","4,692","5,085","5,620","5,792","4,851","5,070","5,943","5,306","5,056","4,970","5,202","5,148","5,160","5,169","4,970","5,537","4,692","4,416","4,364","4,383","1,205","453","1,064","278","193","875","1,495","1,120","553","931","385","278","3,786","906","276","1,504","3,254","437","1,300","1,971","0","278","175","0","971","1,845","1,847","1,209","556","728","552","1,785","892","1,195","447","344","366","880","1,847","7,510","1,134","2,467","1,687","0","3,062","556","2,112","1,924","257","909","332","858","558","4,536","1,434","1,414","494","708","1,663","0","509","2,126","3,837","848","867","842","1,904","1,531","706","175","278","1,806"
"Airseat","All Domestic, Charters","Kahului","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","372","936","575","264","312","0","0","0","0","181","0","216","156","0","276","276","0","0","216","0","0","149","0","181","0","181","2,022","199","0","199","340","0","0","811","0","174","380","331","166","552","234","234","0","166","0","1,153","276","1,071","0","516","175","193","0","0","386","166","484","1,814","1,299","0","1,145","972","2,637","697","2,771","3,951","2,973","4,856","0","1,077","2,062","0","278","570","175","0","700","364","199","0","0","1,134","0","0","281","401","278","175","0","364","179","0","189","0","0","0","736","760","982","567","166","325","378","0","978","178","189","166","318","0","408","0","607","444","378","175","0","0","0","318","244","166","588"
"Airseat","All Domestic, Charters","Kona","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","199","168","0","163","181","0","0","215","0","0","163","163","0","670","330","0","0","0","0","165","0","0","905","332","0","209","167","0","0","0","0","196","0","188","213","0","0","0","179","0","0","0","0","0","0","179","176","163","178","806","0","0","0","0","193","0","0","338","328","0","159","570","377","0","552","159","0","0","0","234","175","0","0","0","0","0","175","0","0","0","0","567","0","0","0","0","712","0","0","0","1,281","732","850","2,079","1,229","2,134","2,650","2,040","2,618","408","476","340","476","408","1,233","476","612","612","408","703","0","408","408","476","408","0","408","908","486","337","408","476","544"
"Airseat","All Domestic, Charters","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","156","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","179","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","All Domestic, Charters","Lihue","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","213","0","0","185","0","0","0","0","362","185","0","0","0","477","0","181","0","0","0","0","169","0","0","0","0","0","312","376","0","188","0","0","0","0","0","0","0","159","0","0","0","0","0","0","0","0","0","188","0","0","159","0","0","0","0","0","0","175","0","0","0","334","0","0","753","0","0","334","0","0","0","0","0","0","954","0","365","0","0","0","0","0","0","166","0","199","0","0","0","0","175","0","0","0","0","0","0","0","0","0","0","0","0","0","174","189","0","0","166","176","0","0","0","176","0","189","0","0","0","0","0","0","0"
"Airseat","All Int'l, Scheduled & Charters","All airports in Hawaii","number","216,689","188,714","210,136","208,492","198,296","195,146","204,819","209,357","195,023","201,271","201,711","230,945","232,919","215,392","240,013","212,616","198,001","198,612","208,614","211,118","203,849","201,542","199,649","236,056","244,497","224,407","246,394","226,929","204,408","203,285","223,658","240,580","228,576","220,056","228,104","271,730","290,885","261,670","282,240","262,483","242,298","241,087","268,965","290,035","264,123","260,447","264,636","305,236","318,222","295,785","329,358","309,728","274,443","276,498","293,549","322,649","294,122","302,564","293,112","337,793","343,739","304,267","333,562","319,102","288,830","280,284","290,357","307,844","285,970","288,277","285,890","341,385","340,789","303,493","333,538","316,088","292,228","281,021","301,885","327,202","292,798","297,150","291,771","333,693","338,152","317,789","339,593","319,212","294,468","284,330","298,509","306,248","288,993","296,909","291,843","331,770","348,490","311,800","331,081","320,534","289,350","298,365","323,416","326,712","296,402","305,549","316,387","357,782","359,801","324,868","343,259","329,182","305,545","304,953","322,632","336,094","328,314","315,536","323,450","356,963","365,525","326,147","349,121","328,990","294,018","278,652","303,097","289,746","295,701","297,179","302,493","348,532","352,980","311,844","218,145","11,534","11,410","12,465","12,964","13,250","12,152","14,434","15,298","38,933","35,760","21,781","19,237","20,905","21,781","21,699","38,107","34,895","29,332","42,978","73,322","99,422","113,524","97,223","131,411","133,814","95,925","94,760","187,089","160,515","144,639","158,147","178,792","219,865","229,692","193,859","219,948","194,220","172,698","172,655","187,089","198,944","181,538","195,014","229,386","256,944","262,405","240,844","261,440","178,546","204,480","198,918","206,305","209,088","197,560","205,663","225,331","243,862","234,317","207,251","237,799","226,972","198,771","189,669","215,950","213,655","201,689","214,109","220,690","254,533","243,233","206,218","228,195","213,290"
"Airseat","All Int'l, Scheduled & Charters","Honolulu","number","191,493","169,554","188,897","188,504","188,241","185,844","195,307","199,634","185,721","189,058","187,595","208,940","203,863","189,604","210,501","186,208","184,988","189,310","198,725","201,606","194,547","189,085","188,001","216,674","222,595","201,960","220,096","200,935","198,765","197,461","217,457","234,590","222,752","213,478","216,563","245,632","258,422","231,055","249,521","237,816","234,316","234,222","262,311","283,381","257,258","253,084","249,097","276,126","284,828","265,581","295,299","283,665","266,291","269,453","288,087","315,430","287,442","294,766","276,438","304,000","305,403","269,699","294,816","284,878","280,393","273,604","283,503","300,625","279,290","279,883","268,409","302,770","299,131","266,709","292,223","278,970","281,704","273,145","293,275","318,424","284,838","286,480","270,384","295,416","294,903","277,034","294,200","282,203","286,722","277,034","290,763","298,784","282,087","288,562","269,665","292,349","303,376","270,768","285,935","279,545","278,224","287,173","312,056","315,352","282,980","287,234","278,399","307,803","307,710","277,320","290,342","280,340","288,016","287,977","304,917","318,101","310,972","294,508","280,018","301,056","307,434","273,165","290,629","282,995","274,689","261,005","285,160","271,587","279,037","275,454","262,081","300,309","300,956","261,888","187,787","11,534","11,410","12,465","12,964","13,250","12,152","14,434","15,298","31,057","30,674","19,979","18,709","20,189","21,649","21,699","37,759","30,958","28,825","35,947","44,538","67,012","76,599","62,781","82,475","95,664","85,292","86,036","175,063","147,295","132,980","144,442","149,553","179,664","188,050","157,121","177,770","167,927","164,769","162,713","175,063","187,628","176,552","185,763","198,367","222,255","229,961","210,213","225,285","159,028","199,260","195,438","201,482","203,071","193,906","199,091","198,760","216,938","208,790","182,917","209,483","205,959","194,073","185,361","212,470","209,653","197,967","207,870","199,607","228,580","215,228","180,704","201,495","193,339"
"Airseat","All Int'l, Scheduled & Charters","Kahului","number","12,797","11,348","12,661","11,620","3,545","3,002","3,002","3,213","3,002","5,703","7,816","14,042","18,293","16,408","19,336","16,442","6,337","3,002","3,379","3,002","3,002","6,367","11,648","15,761","18,183","19,235","22,790","22,423","5,495","5,824","6,201","5,990","5,824","6,578","11,375","20,938","27,137","25,621","27,348","20,261","6,654","5,205","5,326","5,160","5,371","6,035","12,385","23,120","27,404","24,712","27,858","20,943","6,586","5,479","4,418","5,479","5,288","6,406","13,194","24,423","26,704","23,980","26,903","24,332","6,697","5,288","5,462","5,479","5,288","6,828","14,001","27,194","29,815","26,196","29,683","25,914","8,436","6,484","7,044","7,212","6,616","8,990","17,859","27,301","31,423","29,883","32,439","26,083","7,746","7,296","7,746","7,464","6,906","8,011","18,146","26,857","29,748","26,968","29,486","26,295","7,464","7,578","7,746","7,746","6,624","7,860","19,668","28,092","29,636","26,976","29,898","27,594","7,746","7,392","7,932","7,932","7,758","9,853","23,408","32,294","32,788","29,767","33,587","27,293","9,268","8,063","8,154","8,376","7,080","10,550","21,780","26,938","28,637","28,219","22,354","0","0","0","0","0","0","0","0","7,876","4,390","1,628","528","716","132","0","348","3,937","507","6,683","20,954","22,522","26,361","25,260","35,633","27,770","10,633","8,724","10,633","10,633","9,072","13,009","20,365","27,419","28,234","25,682","29,565","20,849","7,929","9,942","10,633","8,729","4,986","6,731","19,030","21,109","21,081","20,377","22,191","18,474","5,220","3,480","3,828","3,828","3,654","5,543","16,728","16,375","16,723","15,346","17,593","14,988","4,698","4,308","3,480","4,002","3,654","5,543","16,150","16,970","17,751","16,750","17,021","14,095"
"Airseat","All Int'l, Scheduled & Charters","Kona","number","12,399","7,812","8,578","8,368","6,510","6,300","6,510","6,510","6,300","6,510","6,300","7,133","9,269","8,052","8,682","8,638","6,510","6,300","6,510","6,510","6,300","6,090","0","2,127","2,387","2,028","2,176","2,239","148","0","0","0","0","0","0","3,002","3,168","2,836","3,213","2,414","664","830","664","830","664","664","1,826","3,666","3,832","3,500","4,043","3,032","870","696","522","870","696","696","1,914","5,368","6,238","5,716","6,449","5,368","870","696","696","870","696","870","1,914","6,027","6,449","5,716","6,238","5,984","1,044","696","870","696","672","840","2,016","5,768","6,618","6,000","7,746","5,886","0","0","0","0","0","168","2,184","7,356","10,158","9,360","10,452","9,822","3,662","3,614","3,614","3,614","6,798","10,119","14,120","16,679","17,247","15,868","17,811","16,544","9,783","9,584","9,783","10,061","9,584","10,479","14,804","17,036","17,543","16,315","17,821","14,004","10,061","9,584","9,783","9,783","9,584","10,653","14,804","16,587","17,993","16,691","4,002","0","0","0","0","0","0","0","0","0","696","174","0","0","0","0","0","0","0","174","4,350","6,234","6,388","5,528","8,083","6,378","0","0","1,393","2,587","2,587","348","5,220","8,258","9,406","7,576","9,307","4,052","0","0","1,393","2,587","0","2,172","9,205","10,274","9,275","8,166","11,354","522","0","0","995","2,189","0","855","7,581","7,591","6,194","6,378","7,591","4,807","0","0","0","0","68","696","4,933","6,721","7,818","6,328","6,547","4,638"
"Airseat","All Int'l, Scheduled & Charters","Hilo","number","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Airseat","All Int'l, Scheduled & Charters","Lihue","number","0","0","0","0","0","0","0","0","0","0","0","830","1,494","1,328","1,494","1,328","166","0","0","0","0","0","0","1,494","1,332","1,184","1,332","1,332","0","0","0","0","0","0","166","2,158","2,158","2,158","2,158","1,992","664","830","664","664","830","664","1,328","2,324","2,158","1,992","2,158","2,088","696","870","522","870","696","696","1,566","4,002","5,394","4,872","5,394","4,524","870","696","696","870","696","696","1,566","5,394","5,394","4,872","5,394","5,220","1,044","696","696","870","672","840","1,512","5,208","5,208","4,872","5,208","5,040","0","0","0","0","0","168","1,848","5,208","5,208","4,704","5,208","4,872","0","0","0","0","0","336","4,200","5,208","5,208","4,704","5,208","4,704","0","0","0","0","0","696","5,220","6,577","7,760","6,900","7,084","4,698","0","0","0","0","0","522","3,828","4,698","5,394","5,046","4,002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","174","3,480","3,654","4,176","3,654","5,220","4,002","0","0","0","0","0","348","3,654","4,524","4,002","3,480","3,306","1,392","0","0","0","0","0","348","2,784","3,306","2,088","2,088","2,610","522","0","0","0","0","0","174","2,262","2,958","2,610","2,610","3,132","1,218","0","0","0","0","0","0","0","2,262","2,436","2,436","3,132","1,218"
"Airseat","All Int'l, Scheduled","All airports in Hawaii","number","214,289","186,714","207,336","206,492","196,696","195,146","203,571","205,999","193,766","201,118","201,311","222,945","230,157","209,280","234,595","211,816","197,201","198,612","208,614","208,239","196,773","196,621","198,253","231,687","241,281","220,195","243,275","225,134","201,897","201,879","222,549","230,274","226,120","218,064","224,398","261,745","285,991","257,755","276,307","256,780","240,516","239,954","265,601","276,143","261,379","259,574","261,809","298,609","316,435","280,284","319,379","300,353","272,593","273,435","290,061","309,929","292,334","299,483","291,335","331,514","340,654","302,981","330,899","319,102","288,830","279,990","288,194","297,077","280,871","287,119","285,511","333,200","338,551","303,234","333,244","315,794","291,665","280,125","300,084","318,963","291,433","295,903","291,771","325,437","337,600","316,537","333,976","317,764","293,633","284,066","296,917","296,639","288,188","296,469","290,717","329,360","346,906","310,588","330,805","318,807","288,108","297,259","322,726","322,495","295,766","305,258","313,774","354,523","358,967","324,360","341,400","328,564","302,438","301,375","321,590","333,844","318,097","313,944","319,364","354,926","364,755","325,556","348,843","321,105","290,025","277,983","301,715","285,499","294,826","296,060","302,215","342,175","351,780","311,247","206,243","10,552","11,284","12,465","12,211","12,460","11,546","14,156","15,298","38,172","35,501","21,522","18,937","20,327","21,528","20,637","35,329","33,521","29,332","42,809","73,322","99,072","112,291","97,059","130,206","132,283","95,067","94,277","184,673","160,218","144,361","157,850","178,116","219,266","227,870","192,911","218,630","194,220","172,023","171,347","184,673","198,427","181,090","192,898","229,386","255,155","261,245","239,856","260,706","177,631","204,183","198,640","205,622","208,640","197,004","204,943","224,299","241,186","233,476","206,568","236,356","226,142","198,431","188,888","215,062","213,460","200,606","213,170","219,493","253,749","241,691","205,943","228,195","212,904"
"Airseat","All Int'l, Scheduled","Honolulu","number","189,093","167,554","186,097","186,504","186,641","185,844","194,059","196,276","184,464","188,905","187,195","200,940","201,101","183,492","205,083","185,408","184,188","189,310","198,725","198,727","187,471","184,164","186,605","212,305","219,379","197,748","216,977","199,140","196,254","196,055","216,348","224,284","220,296","211,486","212,857","235,647","253,528","227,140","243,588","232,113","232,534","233,089","258,947","269,489","254,514","252,211","246,270","269,499","283,041","250,080","285,320","274,290","264,441","266,390","284,599","302,710","285,654","291,685","274,661","297,721","302,318","268,413","292,153","284,878","280,393","273,310","281,340","289,858","274,191","278,725","268,030","294,585","296,893","266,450","291,929","278,676","281,141","272,249","291,474","310,185","283,473","285,233","270,384","287,160","294,351","275,782","288,583","280,755","285,887","276,770","289,171","289,175","281,282","288,122","268,539","289,939","301,792","269,556","285,659","277,818","276,982","286,067","311,366","311,135","282,344","286,943","275,786","304,544","306,876","276,812","288,483","279,722","284,909","284,399","303,875","315,851","300,755","292,916","275,932","299,019","306,664","272,574","290,351","275,110","270,696","260,336","283,778","267,340","278,162","274,335","261,803","293,952","299,756","261,291","180,973","10,552","11,284","12,465","12,211","12,460","11,546","14,156","15,298","30,296","30,415","19,720","18,409","19,611","21,396","20,637","34,981","29,758","28,825","35,778","44,538","66,662","75,366","62,617","81,270","94,133","84,434","85,553","172,647","146,998","132,702","144,145","148,877","179,065","186,228","156,173","176,452","167,927","164,094","161,405","172,647","187,111","176,104","184,855","198,367","220,466","228,801","209,225","224,551","158,113","198,963","195,160","200,799","202,623","193,350","198,371","197,728","214,262","208,123","182,408","208,040","205,129","193,733","185,060","211,582","209,458","196,952","206,931","198,819","227,796","214,366","180,429","201,495","192,953"
"Airseat","All Int'l, Scheduled","Kahului","number","12,797","11,348","12,661","11,620","3,545","3,002","3,002","3,213","3,002","5,703","7,816","14,042","18,293","16,408","19,336","16,442","6,337","3,002","3,379","3,002","3,002","6,367","11,648","15,761","18,183","19,235","22,790","22,423","5,495","5,824","6,201","5,990","5,824","6,578","11,375","20,938","27,137","25,621","27,348","20,261","6,654","5,205","5,326","5,160","5,371","6,035","12,385","23,120","27,404","24,712","27,858","20,943","6,586","5,479","4,418","5,479","5,288","6,406","13,194","24,423","26,704","23,980","26,903","24,332","6,697","5,288","5,462","5,479","5,288","6,828","14,001","27,194","29,815","26,196","29,683","25,914","8,436","6,484","7,044","7,212","6,616","8,990","17,859","27,301","31,423","29,883","32,439","26,083","7,746","7,296","7,746","7,464","6,906","8,011","18,146","26,857","29,748","26,968","29,486","26,295","7,464","7,578","7,746","7,746","6,624","7,860","19,668","28,092","29,636","26,976","29,898","27,594","7,746","7,392","7,932","7,932","7,758","9,853","23,408","32,294","32,788","29,767","33,587","27,293","9,268","8,063","8,154","8,376","7,080","10,550","21,780","26,938","28,637","28,219","17,266","0","0","0","0","0","0","0","0","7,876","4,390","1,628","528","716","132","0","348","3,763","507","6,683","20,954","22,522","26,361","25,260","35,633","27,770","10,633","8,724","10,633","10,633","9,072","13,009","20,365","27,419","28,234","25,682","29,565","20,849","7,929","9,942","10,633","8,729","4,986","6,731","19,030","21,109","21,081","20,377","22,191","18,474","5,220","3,480","3,828","3,828","3,654","5,543","16,728","16,375","16,549","15,172","17,593","14,988","4,698","3,828","3,480","4,002","3,654","5,543","16,150","16,970","17,751","16,750","17,021","14,095"
