"Group","Category","Indicator","Units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"All visitors by air","All other expenses","% of total spending","percent","","","4.2","4.2","4.2","4.1","4.2","3.7","3.9","3.6","3.7","","1.8","2.7","3.6","3.5"
"Oahu visitors","All other expenses","% of total spending","percent","","4.2","3.6","3.2","3.6","3.5","4.0","4.2","4.0","4.1","3.7","","1.9","3.1","3.9","1.7"
"Visitors from US West","Grand Total","Daily spending ($)","dollar","133.25","139.93","144.00","152.28","156.49","160.18","162.02","167.92","174.29","175.80","174.88","","195.46","221.82","225.37","229.77"
"Hawaii ISL visitors","Grand Total","Daily spending ($)","dollar","","143.94","150.71","158.89","170.93","172.18","160.37","179.65","184.18","183.75","178.45","","167.55","197.85","216.06","239.74"
"Visitors from US West","Grand Total","% of total spending","percent","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Hawaii ISL visitors","Grand Total","% of total spending","percent","","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Visitors from US West","Total Food and beverage","Daily spending ($)","dollar","30.76","32.67","33.72","34.38","34.03","35.38","34.51","36.17","37.40","37.75","37.20","","40.95","45.18","47.80","49.32"
"Hawaii ISL visitors","Total Food and beverage","Daily spending ($)","dollar","","29.67","32.20","32.42","34.33","33.96","32.14","36.32","37.11","38.02","39.25","","34.99","40.36","45.71","49.45"
"Visitors from US West","Total Food and beverage","% of total spending","percent","23.1","23.3","23.4","22.6","21.7","22.1","21.3","21.5","21.5","21.5","21.3","","21.0","20.4","21.2","21.5"
"Hawaii ISL visitors","Total Food and beverage","% of total spending","percent","","20.6","21.4","20.4","20.1","19.7","20.0","20.2","20.2","20.7","22.0","","20.9","20.4","21.2","20.6"
"Visitors from US West","Restaurant food","Daily spending ($)","dollar","19.80","21.56","22.38","22.76","22.36","22.96","21.81","22.95","23.67","23.90","23.58","","26.10","28.61","30.29","31.84"
"Hawaii ISL visitors","Restaurant food","Daily spending ($)","dollar","","19.33","20.55","21.17","22.87","22.46","21.01","24.18","24.24","24.99","26.27","","22.57","25.60","29.95","32.61"
