"Group","Category","Indicator","Units","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Visitors from Japan","Rental vehicles","% of total spending","percent","1.2","1.3","1.3","1.1","1.3","1.3","1.6","1.7","1.9","1.8","1.7","","4.3","3.6","2.4","2.1"
"Molokai visitors","Rental vehicles","% of total spending","percent","","6.4","7.2","10.1","4.5","9.8","16.9","13.4","11.7","11.8","14.9","","21.8","15.2","13.8","13.9"
"Visitors from Japan","Gasoline, parking, etc.","Daily spending ($)","dollar","0.40","0.43","0.45","0.40","0.41","0.40","0.40","0.34","0.50","0.46","0.46","","1.50","1.19","0.81","0.65"
"Molokai visitors","Gasoline, parking, etc.","Daily spending ($)","dollar","","0.60","2.74","0.69","0.53","2.05","1.44","1.21","1.56","1.18","0.82","","0.39","0.78","0.54","2.46"
"Visitors from Japan","Gasoline, parking, etc.","% of total spending","percent","0.1","0.2","0.2","0.1","0.1","0.1","0.2","0.1","0.2","0.2","0.2","","0.7","0.5","0.3","0.3"
"Molokai visitors","Gasoline, parking, etc.","% of total spending","percent","","0.6","2.5","0.6","0.5","1.7","1.2","1.0","1.3","0.8","0.7","","0.3","0.5","0.3","1.4"
"Visitors from Japan","Total Shopping","Daily spending ($)","dollar","98.85","91.66","102.19","96.08","78.97","77.76","65.51","68.02","64.62","65.94","65.08","","54.90","49.83","50.24","46.74"
"Molokai visitors","Total Shopping","Daily spending ($)","dollar","","5.67","5.50","4.06","5.94","6.92","7.19","7.24","8.49","7.28","6.45","","5.74","6.73","26.64","7.14"
"Visitors from Japan","Total Shopping","% of total spending","percent","36.8","35.1","35.3","31.0","28.6","28.4","27.7","28.3","27.2","27.3","26.9","","24.9","21.2","20.9","19.5"
"Molokai visitors","Total Shopping","% of total spending","percent","","5.8","5.0","3.7","5.2","5.7","6.1","6.3","6.8","5.1","5.1","","4.2","4.4","14.1","4.1"
"Visitors from Japan","Fashion and clothing","Daily spending ($)","dollar","26.92","24.28","26.92","26.04","21.47","20.55","18.18","18.13","18.07","18.36","17.91","","23.90","17.49","16.40","14.85"
"Molokai visitors","Fashion and clothing","Daily spending ($)","dollar","","0.99","1.72","1.43","0.88","1.72","2.05","1.93","3.60","1.51","1.89","","1.05","1.79","5.70","2.47"
"Visitors from Japan","Fashion and clothing","% of total spending","percent","10.0","9.3","9.3","8.4","7.8","7.5","7.7","7.5","7.6","7.6","7.4","","10.8","7.4","6.8","6.2"
"Molokai visitors","Fashion and clothing","% of total spending","percent","","1.0","1.6","1.3","0.8","1.4","1.7","1.7","2.9","1.1","1.5","","0.8","1.2","3.0","1.4"
"Visitors from Japan","Jewelry and watches","Daily spending ($)","dollar","12.33","12.36","13.71","11.70","7.81","7.52","5.77","6.72","5.77","7.06","7.49","","5.10","3.68","3.40","3.45"
"Molokai visitors","Jewelry and watches","Daily spending ($)","dollar","","0.52","0.56","0.16","0.28","0.55","0.81","2.07","0.82","0.14","0.43","","0.98","0.68","17.11","0.54"
"Visitors from Japan","Jewelry and watches","% of total spending","percent","4.6","4.7","4.7","3.8","2.8","2.8","2.4","2.8","2.4","2.9","3.1","","2.3","1.6","1.4","1.4"
"Molokai visitors","Jewelry and watches","% of total spending","percent","","0.5","0.5","0.1","0.2","0.5","0.7","1.8","0.7","0.1","0.3","","0.7","0.4","9.1","0.3"
"Visitors from Japan","Cosmetics, perfume","Daily spending ($)","dollar","5.46","5.20","6.00","5.37","4.41","4.51","3.47","3.75","3.59","3.82","3.96","","2.70","2.18","1.83","1.68"
"Molokai visitors","Cosmetics, perfume","Daily spending ($)","dollar","","0.05","0.01","0.04","0.04","0.06","0.04","0.01","0.04","0.25","0.01","","0.04","0.09","0.04","0.20"
"Visitors from Japan","Cosmetics, perfume","% of total spending","percent","2.0","2.0","2.1","1.7","1.6","1.6","1.5","1.6","1.5","1.6","1.6","","1.2","0.9","0.8","0.7"
"Molokai visitors","Cosmetics, perfume","% of total spending","percent","","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0","","0.0","0.1","0.0","0.1"
"Visitors from Japan","Leather goods","Daily spending ($)","dollar","33.50","29.67","34.16","31.82","25.86","24.84","17.65","18.50","16.96","17.03","16.31","","13.00","9.00","8.25","6.81"
"Molokai visitors","Leather goods","Daily spending ($)","dollar","","0.03","0.00","0.03","0.04","0.34","0.02","0.01","0.08","0.25","0.08","","0.04","0.04","0.04","0.07"
"Visitors from Japan","Leather goods","% of total spending","percent","12.5","11.4","11.8","10.3","9.4","9.1","7.5","7.7","7.1","7.1","6.8","","5.9","3.8","3.4","2.8"
"Molokai visitors","Leather goods","% of total spending","percent","","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.1","0.2","0.1","","0.0","0.0","0.0","0.0"
"Visitors from Japan","Hawaii food products","Daily spending ($)","dollar","11.77","11.67","12.38","12.58","12.24","13.32","13.56","13.86","13.64","13.53","13.35","","8.40","11.77","13.80","13.55"
"Molokai visitors","Hawaii food products","Daily spending ($)","dollar","","1.15","1.29","0.79","2.56","1.82","2.03","1.58","2.32","3.13","1.47","","0.79","2.97","1.34","1.49"
"Visitors from Japan","Hawaii food products","% of total spending","percent","4.4","4.5","4.3","4.1","4.4","4.9","5.7","5.8","5.7","5.6","5.5","","3.8","5.0","5.7","5.7"
"Molokai visitors","Hawaii food products","% of total spending","percent","","1.2","1.2","0.7","2.2","1.5","1.7","1.4","1.9","2.2","1.2","","0.6","1.9","0.7","0.9"
"Visitors from Japan","Souvenirs","Daily spending ($)","dollar","8.86","8.47","9.01","8.57","7.17","7.03","6.89","7.06","6.59","6.23","6.16","","5.90","6.06","6.55","6.41"
"Molokai visitors","Souvenirs","Daily spending ($)","dollar","","2.92","1.91","1.66","2.22","2.43","2.25","1.63","1.67","2.00","2.57","","2.91","1.18","2.45","2.36"
"Visitors from Japan","Souvenirs","% of total spending","percent","3.3","3.2","3.1","2.8","2.6","2.6","2.9","2.9","2.8","2.6","2.5","","2.7","2.6","2.7","2.7"
"Molokai visitors","Souvenirs","% of total spending","percent","","3.0","1.8","1.5","2.0","2.0","1.9","1.4","1.3","1.4","2.0","","2.1","0.8","1.3","1.3"
"Visitors from Japan","Lodging","Daily spending ($)","dollar","76.91","78.19","92.84","111.72","101.59","99.67","79.33","80.12","80.60","85.53","83.75","","81.20","89.04","91.10","92.88"
"Molokai visitors","Lodging","Daily spending ($)","dollar","","50.32","53.15","56.95","52.36","52.02","46.06","45.00","48.99","55.19","53.71","","52.60","82.56","91.24","85.98"
"Visitors from Japan","Lodging","% of total spending","percent","28.7","29.9","32.1","36.0","36.8","36.5","33.6","33.3","33.9","35.5","34.7","","36.8","37.8","37.8","38.8"
"Molokai visitors","Lodging","% of total spending","percent","","51.5","48.7","52.0","46.0","42.5","39.0","39.0","39.5","38.5","42.6","","38.1","54.0","48.5","49.0"
"Visitors from Japan","All other expenses","Daily spending ($)","dollar","18.37","18.38","17.72","21.30","14.19","13.98","10.79","10.45","10.32","9.23","10.59","","6.50","6.98","8.70","8.84"
"Molokai visitors","All other expenses","Daily spending ($)","dollar","","4.46","3.39","1.99","2.24","2.69","3.38","6.48","2.66","4.59","3.62","","2.10","4.90","4.84","1.96"
"Visitors from Japan","All other expenses","% of total spending","percent","6.8","7.0","6.1","6.9","5.1","5.1","4.6","4.3","4.3","3.8","4.4","","2.9","3.0","3.6","3.7"
"Molokai visitors","All other expenses","% of total spending","percent","","4.6","3.1","1.8","2.0","2.2","2.9","5.6","2.1","3.2","2.9","","1.5","3.2","2.6","1.1"
"Visitors from Canada","Grand Total","Daily spending ($)","dollar","143.03","144.97","149.98","157.40","164.06","158.95","161.52","161.14","160.87","164.39","165.00","","176.40","189.77","220.27","223.51"
"Lanai visitors","Grand Total","Daily spending ($)","dollar","","283.81","304.27","303.09","307.03","319.77","263.33","414.61","384.76","426.54","478.78","","460.18","539.48","626.11","665.85"
"Visitors from Canada","Grand Total","% of total spending","percent","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Lanai visitors","Grand Total","% of total spending","percent","","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Visitors from Canada","Total Food and beverage","Daily spending ($)","dollar","30.07","30.88","31.40","31.92","32.70","33.35","33.02","33.77","33.26","34.00","35.34","","41.10","40.02","45.79","49.33"
"Lanai visitors","Total Food and beverage","Daily spending ($)","dollar","","59.50","70.05","67.53","69.85","74.12","58.39","90.74","69.27","90.76","98.78","","180.79","128.62","111.48","111.54"
"Visitors from Canada","Total Food and beverage","% of total spending","percent","21.0","21.3","20.9","20.3","19.9","21.0","20.4","21.0","20.7","20.7","21.4","","23.3","21.1","20.8","22.1"
"Lanai visitors","Total Food and beverage","% of total spending","percent","","21.0","23.0","22.3","22.8","23.2","22.2","21.9","18.0","21.3","20.6","","39.3","23.8","17.8","16.8"
"Visitors from Canada","Restaurant food","Daily spending ($)","dollar","17.48","18.23","18.29","18.79","18.88","19.91","18.67","19.44","19.36","19.43","20.40","","23.90","23.09","26.43","29.71"
"Lanai visitors","Restaurant food","Daily spending ($)","dollar","","52.80","64.77","62.49","65.23","66.02","49.82","80.31","58.55","69.02","92.02","","91.15","103.75","87.68","93.41"
"Visitors from Canada","Restaurant food","% of total spending","percent","12.2","12.6","12.2","11.9","11.5","12.5","11.6","12.1","12.0","11.8","12.4","","13.5","12.2","12.0","13.3"
"Lanai visitors","Restaurant food","% of total spending","percent","","18.6","21.3","20.6","21.2","20.6","18.9","19.4","15.2","16.2","19.2","","19.8","19.2","14.0","14.0"
"Visitors from Canada","Dinner shows and cruises","Daily spending ($)","dollar","3.07","3.15","3.12","2.87","2.98","2.78","3.02","3.01","2.79","3.13","2.79","","2.00","2.65","3.85","3.82"
"Lanai visitors","Dinner shows and cruises","Daily spending ($)","dollar","","1.21","0.65","0.64","0.38","2.42","0.30","0.73","2.18","16.29","0.87","","0.04","0.04","3.05","8.57"
"Visitors from Canada","Dinner shows and cruises","% of total spending","percent","2.1","2.2","2.1","1.8","1.8","1.8","1.9","1.9","1.7","1.9","1.7","","1.1","1.4","1.7","1.7"
"Lanai visitors","Dinner shows and cruises","% of total spending","percent","","0.4","0.2","0.2","0.1","0.8","0.1","0.2","0.6","3.8","0.2","","0.0","0.0","0.5","1.3"
"Visitors from Canada","Groceries and snacks","Daily spending ($)","dollar","9.52","9.50","9.99","10.26","10.85","10.66","11.33","11.32","11.11","11.45","12.11","","15.20","14.28","15.51","15.81"
"Lanai visitors","Groceries and snacks","Daily spending ($)","dollar","","5.48","4.63","4.40","4.25","5.68","8.27","9.71","8.53","5.44","5.88","","89.64","24.87","20.75","9.56"
"Visitors from Canada","Groceries and snacks","% of total spending","percent","6.7","6.6","6.7","6.5","6.6","6.7","7.0","7.0","6.9","7.0","7.3","","8.6","7.5","7.0","7.1"
"Lanai visitors","Groceries and snacks","% of total spending","percent","","1.9","1.5","1.5","1.4","1.8","3.1","2.3","2.2","1.3","1.2","","19.5","4.6","3.3","1.4"
"Visitors from Canada","Total Entertainment & Recreation","Daily spending ($)","dollar","11.91","12.62","12.81","12.89","13.30","12.71","12.41","11.83","12.58","12.21","12.33","","11.10","13.65","15.78","15.64"
"Lanai visitors","Total Entertainment & Recreation","Daily spending ($)","dollar","","20.35","24.43","23.65","20.13","26.04","20.01","23.09","25.36","20.60","32.58","","10.64","34.91","75.82","59.15"
"Visitors from Canada","Total Entertainment & Recreation","% of total spending","percent","8.3","8.7","8.5","8.2","8.1","8.0","7.7","7.3","7.8","7.4","7.5","","6.3","7.2","7.2","7.0"
"Lanai visitors","Total Entertainment & Recreation","% of total spending","percent","","7.2","8.0","7.8","6.6","8.1","7.6","5.6","6.6","4.8","6.8","","2.3","6.5","12.1","8.9"
"Visitors from Canada","Attractions/entertainment","Daily spending ($)","dollar","","","","","","3.69","3.92","3.81","3.82","3.91","3.94","","2.70","4.00","4.94","5.56"
"Lanai visitors","Attractions/entertainment","Daily spending ($)","dollar","","","","","","","","","","","","","","","5.86","8.30"
"Visitors from Canada","Attractions/entertainment","% of total spending","percent","","","","","","2.3","2.4","2.4","2.4","2.4","2.4","","1.5","2.1","2.2","2.5"
"Lanai visitors","Attractions/entertainment","% of total spending","percent","","","","","","","","","","","","","","","0.9","1.2"
"Visitors from Canada","Recreation","Daily spending ($)","dollar","","","","","","5.30","4.99","4.54","4.70","4.74","5.03","","5.80","5.94","5.95","5.48"
"Lanai visitors","Recreation","Daily spending ($)","dollar","","","","","","","","","","","","","","","16.07","29.36"
"Visitors from Canada","Recreation","% of total spending","percent","","","","","","3.3","3.1","2.8","2.9","2.9","3.0","","3.3","3.1","2.7","2.5"
"Lanai visitors","Recreation","% of total spending","percent","","","","","","","","","","","","","","","2.6","4.4"
"Visitors from Canada","Other activities & tours","Daily spending ($)","dollar","","","","","","3.72","3.51","3.49","4.07","3.57","3.70","","2.80","4.26","4.89","4.59"
"Lanai visitors","Other activities & tours","Daily spending ($)","dollar","","","","","","","","","","","","","","","52.51","21.50"
"Visitors from Canada","Other activities & tours","% of total spending","percent","","","","","","2.3","2.2","2.2","2.5","2.2","2.2","","1.6","2.2","2.2","2.1"
"Lanai visitors","Other activities & tours","% of total spending","percent","","","","","","","","","","","","","","","8.4","3.2"
"Visitors from Canada","Total Transportation","Daily spending ($)","dollar","15.19","15.31","15.53","16.86","17.86","16.11","17.14","16.80","17.73","18.49","18.40","","21.70","23.54","22.52","20.37"
"Lanai visitors","Total Transportation","Daily spending ($)","dollar","","15.98","16.82","15.84","16.12","17.61","14.87","23.60","26.02","28.71","19.57","","80.52","47.43","40.63","48.59"
"Visitors from Canada","Total Transportation","% of total spending","percent","10.6","10.6","10.4","10.7","10.9","10.1","10.6","10.4","11.0","11.2","11.1","","12.3","12.4","10.2","9.1"
"Lanai visitors","Total Transportation","% of total spending","percent","","5.6","5.5","5.2","5.3","5.5","5.6","5.7","6.8","6.7","4.1","","17.5","8.8","6.5","7.3"
"Visitors from Canada","Interisland airfare","Daily spending ($)","dollar","1.73","1.56","1.41","1.43","1.20","1.17","1.73","1.70","1.64","1.19","1.17","","1.40","1.06","1.24","1.05"
"Lanai visitors","Interisland airfare","Daily spending ($)","dollar","","9.96","10.29","9.56","9.55","10.49","7.36","11.35","15.70","24.20","13.94","","33.29","5.17","16.54","17.75"
"Visitors from Canada","Interisland airfare","% of total spending","percent","1.2","1.1","0.9","0.9","0.7","0.7","1.1","1.1","1.0","0.7","0.7","","0.8","0.6","0.6","0.5"
"Lanai visitors","Interisland airfare","% of total spending","percent","","3.5","3.4","3.2","3.1","3.3","2.8","2.7","4.1","5.7","2.9","","7.2","1.0","2.6","2.7"
"Visitors from Canada","Ground transportation","Daily spending ($)","dollar","0.93","0.85","1.00","0.98","0.94","0.97","0.94","0.88","0.87","0.87","0.92","","1.20","1.43","1.56","2.20"
"Lanai visitors","Ground transportation","Daily spending ($)","dollar","","2.76","1.94","2.11","2.04","1.93","1.99","3.62","2.91","0.73","1.70","","2.74","1.62","3.25","2.37"
"Visitors from Canada","Ground transportation","% of total spending","percent","0.7","0.6","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.6","","0.7","0.8","0.7","1.0"
"Lanai visitors","Ground transportation","% of total spending","percent","","1.0","0.6","0.7","0.7","0.6","0.8","0.9","0.8","0.2","0.4","","0.6","0.3","0.5","0.4"
"Visitors from Canada","Rental vehicles","Daily spending ($)","dollar","11.00","11.36","11.46","12.63","14.26","12.30","13.07","13.03","13.78","14.95","14.80","","17.50","19.18","17.94","15.71"
"Lanai visitors","Rental vehicles","Daily spending ($)","dollar","","2.84","3.87","3.70","3.86","4.18","5.12","8.30","7.15","3.66","3.71","","37.65","36.09","19.97","24.64"
"Visitors from Canada","Rental vehicles","% of total spending","percent","7.7","7.8","7.6","8.0","8.7","7.7","8.1","8.1","8.6","9.1","9.0","","9.9","10.1","8.1","7.0"
"Lanai visitors","Rental vehicles","% of total spending","percent","","1.0","1.3","1.2","1.3","1.3","1.9","2.0","1.9","0.9","0.8","","8.2","6.7","3.2","3.7"
"Visitors from Canada","Gasoline, parking, etc.","Daily spending ($)","dollar","1.53","1.54","1.66","1.83","1.47","1.67","1.39","1.19","1.38","1.46","1.50","","1.70","1.83","1.78","1.41"
"Lanai visitors","Gasoline, parking, etc.","Daily spending ($)","dollar","","0.42","0.73","0.47","0.68","1.02","0.40","0.33","0.27","0.13","0.22","","6.84","4.55","0.87","3.83"
"Visitors from Canada","Gasoline, parking, etc.","% of total spending","percent","1.1","1.1","1.1","1.2","0.9","1.1","0.9","0.7","0.9","0.9","0.9","","1.0","1.0","0.8","0.6"
"Lanai visitors","Gasoline, parking, etc.","% of total spending","percent","","0.1","0.2","0.2","0.2","0.3","0.2","0.1","0.1","0.0","0.0","","1.5","0.8","0.1","0.6"
"Visitors from Canada","Total Shopping","Daily spending ($)","dollar","17.10","17.23","18.45","17.81","16.63","16.47","14.91","13.53","14.14","14.20","13.93","","16.60","14.60","16.10","17.61"
"Lanai visitors","Total Shopping","Daily spending ($)","dollar","","11.81","12.27","13.92","10.98","16.13","11.22","12.17","14.10","12.02","13.91","","9.44","21.31","40.68","21.66"
"Visitors from Canada","Total Shopping","% of total spending","percent","12.0","11.9","12.3","11.3","10.1","10.4","9.2","8.4","8.8","8.6","8.4","","9.4","7.7","7.3","7.9"
"Lanai visitors","Total Shopping","% of total spending","percent","","4.2","4.0","4.6","3.6","5.0","4.3","2.9","3.7","2.8","2.9","","2.1","4.0","6.5","3.3"
"Visitors from Canada","Fashion and clothing","Daily spending ($)","dollar","8.41","8.74","9.32","8.88","8.84","8.25","7.79","6.94","7.32","7.44","7.17","","8.30","7.72","8.55","8.78"
"Lanai visitors","Fashion and clothing","Daily spending ($)","dollar","","4.93","6.12","7.14","6.42","9.36","7.18","9.68","9.46","6.71","9.61","","9.44","16.36","16.60","8.57"
"Visitors from Canada","Fashion and clothing","% of total spending","percent","5.9","6.0","6.2","5.6","5.4","5.2","4.8","4.3","4.6","4.5","4.3","","4.7","4.1","3.9","3.9"
"Lanai visitors","Fashion and clothing","% of total spending","percent","","1.7","2.0","2.4","2.1","2.9","2.7","2.3","2.5","1.6","2.0","","2.1","3.0","2.7","1.3"
"Visitors from Canada","Jewelry and watches","Daily spending ($)","dollar","2.94","2.69","2.92","2.76","2.32","2.27","1.85","1.55","1.50","1.26","1.38","","1.20","0.92","1.38","1.20"
"Lanai visitors","Jewelry and watches","Daily spending ($)","dollar","","1.60","1.51","1.64","1.15","1.99","0.80","0.55","0.73","1.20","0.99","","0.04","0.04","11.47","0.49"
"Visitors from Canada","Jewelry and watches","% of total spending","percent","2.1","1.9","1.9","1.8","1.4","1.4","1.1","1.0","0.9","0.8","0.8","","0.7","0.5","0.6","0.5"
"Lanai visitors","Jewelry and watches","% of total spending","percent","","0.6","0.5","0.5","0.4","0.6","0.3","0.1","0.2","0.3","0.2","","0.0","0.0","1.8","0.1"
"Visitors from Canada","Cosmetics, perfume","Daily spending ($)","dollar","0.24","0.27","0.30","0.30","0.38","0.31","0.33","0.25","0.25","0.25","0.21","","0.30","0.19","0.33","0.37"
"Lanai visitors","Cosmetics, perfume","Daily spending ($)","dollar","","0.40","0.15","0.09","0.20","0.71","0.15","0.05","0.06","0.02","0.16","","0.04","0.04","0.13","0.02"
"Visitors from Canada","Cosmetics, perfume","% of total spending","percent","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","","0.2","0.1","0.2","0.2"
"Lanai visitors","Cosmetics, perfume","% of total spending","percent","","0.1","0.0","0.0","0.1","0.2","0.1","0.0","0.0","0.0","0.0","","0.0","0.0","0.0","0.0"
"Visitors from Canada","Leather goods","Daily spending ($)","dollar","0.54","0.54","0.80","0.73","0.47","0.63","0.53","0.51","0.60","0.74","0.59","","1.30","0.58","0.51","0.56"
"Lanai visitors","Leather goods","Daily spending ($)","dollar","","0.25","0.20","0.03","0.41","0.22","0.01","0.41","0.10","0.11","0.64","","0.04","0.04","0.04","2.68"
"Visitors from Canada","Leather goods","% of total spending","percent","0.4","0.4","0.5","0.5","0.3","0.4","0.3","0.3","0.4","0.4","0.4","","0.7","0.3","0.2","0.3"
"Lanai visitors","Leather goods","% of total spending","percent","","0.1","0.1","0.0","0.1","0.1","0.0","0.1","0.0","0.0","0.1","","0.0","0.0","0.0","0.4"
"Visitors from Canada","Hawaii food products","Daily spending ($)","dollar","1.55","1.61","1.79","1.79","1.61","2.03","1.74","1.66","1.88","1.91","1.84","","2.60","2.35","2.10","2.86"
"Lanai visitors","Hawaii food products","Daily spending ($)","dollar","","0.94","0.59","0.60","0.44","1.66","1.33","0.39","0.67","0.59","0.82","","0.04","0.37","5.63","3.13"
"Visitors from Canada","Hawaii food products","% of total spending","percent","1.1","1.1","1.2","1.1","1.0","1.3","1.1","1.0","1.2","1.2","1.1","","1.5","1.2","1.0","1.3"
"Lanai visitors","Hawaii food products","% of total spending","percent","","0.3","0.2","0.2","0.1","0.5","0.5","0.1","0.2","0.1","0.2","","0.0","0.1","0.9","0.5"
"Visitors from Canada","Souvenirs","Daily spending ($)","dollar","3.42","3.37","3.32","3.36","3.01","2.99","2.67","2.62","2.59","2.60","2.74","","2.80","2.84","3.22","3.84"
"Lanai visitors","Souvenirs","Daily spending ($)","dollar","","3.69","3.70","4.45","2.38","2.19","1.76","1.10","3.09","3.38","1.69","","0.04","4.58","6.86","6.77"
"Visitors from Canada","Souvenirs","% of total spending","percent","2.4","2.3","2.2","2.1","1.8","1.9","1.7","1.6","1.6","1.6","1.7","","1.6","1.5","1.5","1.7"
"Lanai visitors","Souvenirs","% of total spending","percent","","1.3","1.2","1.5","0.8","0.7","0.7","0.3","0.8","0.8","0.4","","0.0","0.8","1.1","1.0"
"Visitors from Canada","Lodging","Daily spending ($)","dollar","63.00","62.98","66.91","72.12","77.74","74.25","78.21","79.34","77.99","80.53","79.73","","82.70","94.32","113.61","113.94"
"Lanai visitors","Lodging","Daily spending ($)","dollar","","163.09","171.24","168.71","180.94","175.85","151.57","255.56","238.85","263.28","297.40","","176.56","295.55","316.17","417.53"
"Visitors from Canada","Lodging","% of total spending","percent","44.0","43.4","44.6","45.8","47.4","46.7","48.4","49.2","48.5","49.0","48.3","","46.9","49.7","51.6","51.0"
"Lanai visitors","Lodging","% of total spending","percent","","57.5","56.3","55.7","58.9","55.0","57.6","61.6","62.1","61.7","62.1","","38.4","54.8","50.5","62.7"
"Visitors from Canada","All other expenses","Daily spending ($)","dollar","5.75","5.96","4.89","5.81","5.83","6.05","5.82","5.87","5.16","4.96","5.27","","3.20","3.64","6.48","6.61"
"Lanai visitors","All other expenses","Daily spending ($)","dollar","","13.09","9.46","13.45","9.01","10.01","7.26","9.46","11.17","11.17","16.54","","2.23","11.64","41.32","7.38"
"Visitors from Canada","All other expenses","% of total spending","percent","4.0","4.1","3.3","3.7","3.6","3.8","3.6","3.6","3.2","3.0","3.2","","1.8","1.9","2.9","3.0"
"Lanai visitors","All other expenses","% of total spending","percent","","4.6","3.1","4.4","2.9","3.1","2.8","2.3","2.9","2.6","3.5","","0.5","2.2","6.6","1.1"
"Visitors from Europe","Grand Total","Daily spending ($)","dollar","144.28","158.96","159.95","174.97","176.91","181.47","177.73","189.92","166.29","171.53","150.59","","167.85","192.14","243.22","213.21"
"Kauai visitors","Grand Total","Daily spending ($)","dollar","","148.55","154.62","157.96","163.27","164.98","172.87","183.82","188.45","191.94","188.84","","200.51","213.14","263.80","276.88"
"Visitors from Europe","Grand Total","% of total spending","percent","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Kauai visitors","Grand Total","% of total spending","percent","","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","","100.0","100.0","100.0","100.0"
"Visitors from Europe","Total Food and beverage","Daily spending ($)","dollar","31.09","35.08","35.41","34.79","33.45","37.83","35.42","36.87","41.21","41.09","35.62","","40.40","39.94","53.98","42.30"
"Kauai visitors","Total Food and beverage","Daily spending ($)","dollar","","32.87","34.20","33.48","33.90","34.39","36.37","38.94","39.39","39.86","39.58","","38.90","41.81","50.70","57.54"
"Visitors from Europe","Total Food and beverage","% of total spending","percent","21.5","22.1","22.1","19.9","18.9","20.8","19.9","19.4","24.8","24.0","23.7","","24.1","20.8","22.2","19.8"
"Kauai visitors","Total Food and beverage","% of total spending","percent","","22.1","22.1","21.2","20.8","20.8","21.0","21.2","20.9","20.8","21.0","","19.4","19.6","19.2","20.8"
"Visitors from Europe","Restaurant food","Daily spending ($)","dollar","22.95","25.38","25.88","24.71","23.68","26.74","21.98","27.26","31.08","27.84","23.30","","29.16","24.03","38.72","27.76"
"Kauai visitors","Restaurant food","Daily spending ($)","dollar","","20.30","21.32","20.85","20.72","21.11","22.45","24.33","24.24","24.19","24.73","","23.99","25.91","32.23","37.19"
"Visitors from Europe","Restaurant food","% of total spending","percent","15.9","16.0","16.2","14.1","13.4","14.7","12.4","14.4","18.7","16.2","15.5","","17.4","12.5","15.9","13.0"
"Kauai visitors","Restaurant food","% of total spending","percent","","13.7","13.8","13.2","12.7","12.8","13.0","13.2","12.9","12.6","13.1","","12.0","12.2","12.2","13.4"
"Visitors from Europe","Dinner shows and cruises","Daily spending ($)","dollar","1.70","2.98","2.18","2.43","2.14","3.76","3.26","2.63","0.91","1.71","4.25","","2.64","5.87","4.04","2.83"
"Kauai visitors","Dinner shows and cruises","Daily spending ($)","dollar","","3.33","3.49","3.35","3.50","3.47","3.70","4.13","4.71","4.88","4.00","","3.20","5.37","5.31","5.93"
"Visitors from Europe","Dinner shows and cruises","% of total spending","percent","1.2","1.9","1.4","1.4","1.2","2.1","1.8","1.4","0.5","1.0","2.8","","1.6","3.1","1.7","1.3"
"Kauai visitors","Dinner shows and cruises","% of total spending","percent","","2.2","2.3","2.1","2.1","2.1","2.1","2.2","2.5","2.5","2.1","","1.6","2.5","2.0","2.1"
"Visitors from Europe","Groceries and snacks","Daily spending ($)","dollar","6.44","6.72","7.35","7.64","7.63","7.33","10.18","6.97","6.72","11.55","8.08","","8.61","10.04","11.22","11.72"
"Kauai visitors","Groceries and snacks","Daily spending ($)","dollar","","9.24","9.39","9.28","9.67","9.81","10.22","10.48","10.44","10.79","10.84","","11.72","10.53","13.15","14.42"
"Visitors from Europe","Groceries and snacks","% of total spending","percent","4.5","4.2","4.6","4.4","4.3","4.0","5.7","3.7","4.0","6.7","5.4","","5.1","5.2","4.6","5.5"
"Kauai visitors","Groceries and snacks","% of total spending","percent","","6.2","6.1","5.9","5.9","5.9","5.9","5.7","5.5","5.6","5.7","","5.8","4.9","5.0","5.2"
"Visitors from Europe","Total Entertainment & Recreation","Daily spending ($)","dollar","12.31","13.40","14.72","14.80","13.04","19.69","16.23","14.77","18.03","17.39","15.46","","16.72","22.62","22.20","21.81"
"Kauai visitors","Total Entertainment & Recreation","Daily spending ($)","dollar","","16.82","17.76","17.94","18.53","19.00","19.87","21.87","22.49","21.90","20.00","","21.27","21.84","24.70","29.16"
"Visitors from Europe","Total Entertainment & Recreation","% of total spending","percent","8.5","8.4","9.2","8.5","7.4","10.8","9.1","7.8","10.8","10.1","10.3","","10.0","11.8","9.1","10.2"
"Kauai visitors","Total Entertainment & Recreation","% of total spending","percent","","11.3","11.5","11.4","11.4","11.5","11.5","11.9","11.9","11.4","10.6","","10.6","10.2","9.4","10.5"
"Visitors from Europe","Attractions/entertainment","Daily spending ($)","dollar","","","","","","4.90","4.58","5.32","5.41","6.44","2.88","","4.86","2.59","7.91","7.68"
